seg_key,seg_id,freq,assigned_label,post_commodity,post_title,post_proper_name,stability
"12,75,86",seg_00136,1,commodity,1.0,0.0,3.6802324548901786e-30,1.0
"121,399",seg_00138,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"123,216,256,403",seg_00140,1,commodity,1.0,0.0,2.6051953312503875e-31,1.0
"123,32,320",seg_00143,1,commodity,1.0,0.0,1.2390720481476231e-31,1.0
"130,51,336",seg_00155,1,commodity,1.0,0.0,1.2817896659250035e-31,1.0
"130,51,364",seg_00156,1,commodity,1.0,0.0,2.0688116295645975e-31,1.0
"14,121",seg_00161,1,commodity,1.0,0.0,5.6977854022348654e-31,1.0
"15,287,104,97,162",seg_00172,1,commodity,1.0,0.0,8.990188449839632e-31,1.0
"15,48,398,59",seg_00174,1,commodity,1.0,0.0,4.6877221720676254e-30,1.0
"15,86",seg_00175,1,commodity,1.0,0.0,8.938655881494657e-31,1.0
"162,155",seg_00183,1,commodity,1.0,0.0,2.1115762888564133e-31,1.0
"162,17",seg_00184,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"162,403,72",seg_00201,1,commodity,1.0,0.0,5.582391109956298e-31,1.0
"162,87,245,245,99,54,28,244",seg_00204,1,commodity,1.0,0.0,1.5883692928259585e-29,1.0
"169,104",seg_00207,1,commodity,1.0,0.0,2.4304566674661827e-31,1.0
"169,183",seg_00214,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"169,194,89,336",seg_00215,1,commodity,1.0,0.0,5.133476727545052e-31,1.0
"169,293,182,389",seg_00227,1,commodity,1.0,0.0,4.604079039900977e-30,1.0
"171,121,121",seg_00233,1,commodity,1.0,0.0,1.3020721075091774e-31,1.0
"171,343,155",seg_00235,1,commodity,1.0,0.0,1.2390720481476231e-31,0.975609756097561
"176,180,175,307,244",seg_00253,1,commodity,1.0,0.0,8.99018844983976e-31,0.975609756097561
"176,330",seg_00259,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"176,68,86",seg_00261,1,commodity,1.0,0.0,3.962375047773256e-31,1.0
"180,149,104",seg_00263,1,commodity,1.0,0.0,2.0688116295645975e-31,1.0
"180,149,223",seg_00264,1,commodity,1.0,0.0,2.0688116295645975e-31,1.0
"180,175,252,391",seg_00266,1,commodity,1.0,0.0,4.604079039900977e-30,1.0
"180,178,89,336",seg_00268,1,commodity,1.0,0.0,4.548270735946724e-31,1.0
"180,343",seg_00269,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"180,54",seg_00271,1,commodity,1.0,0.0,2.1115762888564133e-31,0.975609756097561
"190,89",seg_00278,1,commodity,1.0,0.0,8.938655881494657e-31,1.0
"194,379",seg_00293,1,commodity,1.0,0.0,3.824548496843969e-30,1.0
"211,325,87",seg_00314,1,commodity,1.0,0.0,3.6802324548901786e-30,1.0
"211,67,86",seg_00319,1,commodity,1.0,0.0,4.4986313796215745e-31,1.0
"211,89,336,65,53,387",seg_00323,1,commodity,1.0,0.0,1.5001609379335585e-29,1.0
"230,175,343,249,87",seg_00335,1,commodity,1.0,0.0,2.561563657321069e-31,1.0
"230,175,65,343,162,17",seg_00336,1,commodity,1.0,0.0,5.224916662295315e-31,1.0
"230,87",seg_00344,1,commodity,1.0,0.0,1.802778311124488e-30,1.0
"233,153",seg_00345,1,commodity,1.0,0.0,1.2646850586411086e-31,1.0
"233,204",seg_00346,1,commodity,1.0,0.0,1.2646850586411086e-31,1.0
"233,245,143",seg_00347,1,commodity,1.0,0.0,1.2390720481476231e-31,1.0
"233,293",seg_00348,1,commodity,1.0,0.0,1.2646850586411086e-31,1.0
"242,211,70",seg_00354,1,commodity,1.0,0.0,5.582391109956377e-31,1.0
"245,245,155",seg_00358,1,commodity,1.0,0.0,2.0688116295645975e-31,1.0
"245,245,25,345",seg_00361,1,commodity,1.0,0.0,1.095604759587774e-30,0.975609756097561
"245,245,379,98",seg_00363,1,commodity,1.0,0.0,4.604079039900977e-30,1.0
"245,245,51",seg_00364,1,commodity,1.0,0.0,8.75762592045726e-31,1.0
"252,197,58",seg_00375,1,commodity,1.0,0.0,2.0688116295645975e-31,1.0
"252,206,387",seg_00376,1,commodity,1.0,0.0,2.0688116295645975e-31,1.0
"252,381,28,341",seg_00379,1,commodity,1.0,0.0,2.5881441941324275e-31,0.975609756097561
"254,222,342",seg_00382,1,commodity,1.0,0.0,3.7275727595868154e-31,1.0
"254,222,67",seg_00384,1,commodity,1.0,0.0,3.6802324548901786e-30,1.0
"28,175",seg_00395,1,commodity,1.0,0.0,2.1115762888564133e-31,1.0
"28,249",seg_00396,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"287,102,249",seg_00400,1,commodity,1.0,0.0,2.068811629564568e-31,1.0
"287,245",seg_00406,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"293,186",seg_00417,1,commodity,1.0,0.0,2.1115762888564133e-31,1.0
"324,124",seg_00450,1,commodity,1.0,0.0,3.756306991981453e-30,1.0
"336,249",seg_00459,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"336,67,65",seg_00461,1,commodity,1.0,0.0,4.4986313796215745e-31,1.0
"344,229,216,3",seg_00471,1,commodity,1.0,0.0,1.5501155744179432e-31,1.0
"344,255,371",seg_00473,1,commodity,1.0,0.0,1.2390720481476231e-31,1.0
"344,89,80",seg_00476,1,commodity,1.0,0.0,1.2390720481476231e-31,1.0
"345,27",seg_00477,1,commodity,1.0,0.0,1.3554533962766253e-31,1.0
