seg_key,seg_id,freq,docfreq,start_prob,end_prob,avg_pos,mean_len,H_left,H_right,H_total,avg_pmi_left,avg_pmi_right,numeric_assoc,burstiness,idf,coll_skew,examples,assigned_comp_idx,assigned_label,post_commodity,post_title,post_proper_name,log_odds_num_adj,g2_num_adj,stability
"12,75,86",seg_00136,1,1,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.8856353895902958,1.0,0.9982046673075547,5.631211781821365,0.5,"[(239, 0)]",0,commodity,1.0,0.0,3.6802324548901786e-30,2.517714255288885,0.0,1.0
"121,399",seg_00138,1,1,0.0,1.0,1.0,2.0,0.0,0.0,0.0,-1.8856353895902958,0.0,1.0,0.9982046673075547,5.631211781821365,0.5,"[(343, 4)]",0,commodity,1.0,0.0,2.111576288856443e-31,2.517714255288885,0.0,1.0
"123,216,256,403",seg_00140,1,1,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.31158918774592337,0.0,1.0,0.9982046673075545,5.631211781821365,0.5,"[(279, 3)]",0,commodity,1.0,0.0,2.6051953312503875e-31,2.517714255288885,0.0,1.0
"123,32,320",seg_00143,1,1,0.0,1.0,1.0,3.0,0.0,0.0,0.0,-0.8670658085957221,0.0,1.0,0.9982046673075545,5.631211781821365,0.5,"[(553, 3)]",0,commodity,1.0,0.0,1.2390720481476231e-31,2.517714255288885,0.0,1.0
"130,51,336",seg_00155,1,1,0.0,1.0,1.0,3.0,0.0,0.0,0.0,-0.49934102847040496,0.0,1.0,0.9982046673075547,5.631211781821365,0.5,"[(184, 4)]",0,commodity,1.0,0.0,1.2817896659250035e-31,2.517714255288885,0.0,1.0
"130,51,364",seg_00156,1,1,0.0,1.0,1.0,3.0,0.0,0.0,0.0,-1.8856353895902958,0.0,1.0,0.9982046673075547,5.631211781821365,0.5,"[(520, 4)]",0,commodity,1.0,0.0,2.0688116295645975e-31,2.517714255288885,0.0,1.0
"14,121",seg_00161,1,1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.8670658085957221,1.0,0.9982046673075545,5.631211781821365,0.5,"[(29, 0)]",0,commodity,1.0,0.0,5.6977854022348654e-31,2.517714255288885,0.0,1.0
"15,287,104,97,162",seg_00172,1,1,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.4451205803704461,1.0,0.9982046673075549,5.631211781821365,0.5,"[(384, 0)]",0,commodity,1.0,0.0,8.990188449839632e-31,2.517714255288885,0.0,1.0
"15,48,398,59",seg_00174,1,1,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.6978835488658142,1.0,0.9982046673075545,5.631211781821365,0.5,"[(482, 0)]",0,commodity,1.0,0.0,4.6877221720676254e-30,2.517714255288885,0.0,1.0
"15,86",seg_00175,1,1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0047363683058688,1.0,0.9982046673075545,5.631211781821365,0.5,"[(13, 0)]",0,commodity,1.0,0.0,8.938655881494657e-31,2.517714255288885,0.0,1.0
"162,155",seg_00183,1,1,0.0,1.0,1.0,2.0,0.0,0.0,0.0,-1.8856353895902958,0.0,1.0,0.9982046673075549,5.631211781821365,0.5,"[(475, 3)]",0,commodity,1.0,0.0,2.1115762888564133e-31,2.517714255288885,0.0,1.0
"162,17",seg_00184,1,1,0.0,1.0,1.0,2.0,0.0,0.0,0.0,-1.8856353895902958,0.0,1.0,0.9982046673075547,5.631211781821365,0.5,"[(369, 3)]",0,commodity,1.0,0.0,2.111576288856443e-31,2.517714255288885,0.0,1.0
"162,403,72",seg_00201,1,1,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.8670658085957221,1.0,0.9982046673075549,5.631211781821365,0.5,"[(127, 0)]",0,commodity,1.0,0.0,5.582391109956298e-31,2.517714255288885,0.0,1.0
"162,87,245,245,99,54,28,244",seg_00204,1,1,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.4451205803704461,1.0,0.9982046673075545,5.631211781821365,0.5,"[(152, 0)]",0,commodity,1.0,0.0,1.5883692928259585e-29,2.517714255288885,0.0,1.0
"169,104",seg_00207,1,1,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.4451205803704461,0.0,1.0,0.9982046673075549,5.631211781821365,0.5,"[(381, 4)]",0,commodity,1.0,0.0,2.4304566674661827e-31,2.517714255288885,0.0,1.0
"169,183",seg_00214,1,1,0.0,1.0,1.0,2.0,0.0,0.0,0.0,-1.8856353895902958,0.0,1.0,0.9982046673075547,5.631211781821365,0.5,"[(433, 3)]",0,commodity,1.0,0.0,2.111576288856443e-31,2.517714255288885,0.0,1.0
"169,194,89,336",seg_00215,1,1,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.31158918774592337,1.0,0.9982046673075545,5.631211781821365,0.5,"[(505, 0)]",0,commodity,1.0,0.0,5.133476727545052e-31,2.517714255288885,0.0,1.0
"169,293,182,389",seg_00227,1,1,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-1.8856353895902958,1.0,0.9982046673075547,5.631211781821365,0.5,"[(324, 0)]",0,commodity,1.0,0.0,4.604079039900977e-30,2.517714255288885,0.0,1.0
