seg_key,seg_id,freq,docfreq,start_prob,end_prob,avg_pos,mean_len,H_left,H_right,H_total,avg_pmi_left,avg_pmi_right,numeric_assoc,burstiness,idf,coll_skew,examples,assigned_comp_idx,assigned_label,post_commodity,post_title,post_proper_name,log_odds_num_adj,g2_num_adj,stability
12,seg_00028,8,8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9846153845513846,4.058525464417148,0.0,"[(54, 0), (105, 0), (183, 0), (234, 0), (312, 0), (363, 0), (441, 0), (492, 0)]",2,proper_name,0.07914474404920145,0.07914474404920145,0.8417105119016026,0.0,0.0,0.6829268292682927
31,seg_00029,8,8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9846153845513846,4.058525464417148,0.0,"[(10, 0), (124, 0), (154, 0), (253, 0), (283, 0), (382, 0), (412, 0), (511, 0)]",2,proper_name,0.07914474404920145,0.07914474404920145,0.8417105119016026,0.0,0.0,0.6829268292682927
45,seg_00030,8,8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9846153845513846,4.058525464417148,0.0,"[(15, 0), (87, 0), (144, 0), (216, 0), (273, 0), (345, 0), (402, 0), (474, 0)]",2,proper_name,0.07914474404920145,0.07914474404920145,0.8417105119016026,0.0,0.0,0.6829268292682927
46,seg_00031,8,8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9846153845513846,4.058525464417148,0.0,"[(75, 0), (129, 0), (204, 0), (258, 0), (333, 0), (387, 0), (462, 0), (516, 0)]",2,proper_name,0.07914474404920145,0.07914474404920145,0.8417105119016026,0.0,0.0,0.6829268292682927
50,seg_00032,8,8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9846153845513846,4.058525464417148,0.0,"[(43, 0), (88, 0), (172, 0), (217, 0), (301, 0), (346, 0), (430, 0), (475, 0)]",2,proper_name,0.07914474404920145,0.07914474404920145,0.8417105119016026,0.0,0.0,0.6829268292682927
29,seg_00033,7,7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865384614651754,4.176308500073531,0.0,"[(96, 0), (153, 0), (225, 0), (282, 0), (354, 0), (411, 0), (483, 0)]",2,proper_name,0.006443817200132358,0.006443817200132358,0.9871123655997424,0.0,0.0,0.6829268292682927
10,seg_00034,6,6,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988461538375872,4.3098398926980535,0.0,"[(3, 0), (20, 0), (118, 0), (247, 0), (376, 0), (505, 0)]",2,proper_name,0.0005183279131745543,0.0005183279131745543,0.9989633441736563,0.0,0.0,0.975609756097561
43,seg_00035,5,5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9903846152816155,4.4639905725253115,0.0,"[(29, 0), (128, 0), (257, 0), (386, 0), (515, 0)]",2,proper_name,4.3433542881477046e-05,4.3433542881477046e-05,0.9999131329142414,0.0,0.0,0.975609756097561
7,seg_00036,5,5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9903846152816155,4.4639905725253115,0.0,"[(2, 0), (65, 0), (194, 0), (323, 0), (452, 0)]",2,proper_name,4.3433542881477046e-05,4.3433542881477046e-05,0.9999131329142414,0.0,0.0,0.975609756097561
11,seg_00037,4,4,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9923076921786923,4.646312129319266,0.0,"[(66, 0), (195, 0), (324, 0), (453, 0)]",2,proper_name,3.3460920173935673e-06,3.3460920173935673e-06,0.9999933078159664,0.0,0.0,0.975609756097561
