seg_key,seg_id,freq,docfreq,start_prob,end_prob,avg_pos,mean_len,H_left,H_right,H_total,avg_pmi_left,avg_pmi_right,numeric_assoc,burstiness,idf,coll_skew,examples,assigned_comp_idx,assigned_label,post_commodity,post_title,post_proper_name,log_odds_num_adj,g2_num_adj,stability
12,seg_00008,29,29,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9442307692138383,2.8545526600912114,0.0,"[(5, 0), (25, 0), (45, 0), (55, 0), (75, 0), (95, 0), (115, 0), (135, 0), (155, 0), (175, 0)]",2,proper_name,1.1226848389950608e-123,1.1226848389950608e-123,1.0,0.0,0.0,0.9411764705882353
17,seg_00009,29,29,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9442307692138383,2.8545526600912114,0.0,"[(6, 0), (26, 0), (46, 0), (56, 0), (76, 0), (96, 0), (116, 0), (136, 0), (156, 0), (176, 0)]",2,proper_name,1.1226848389950608e-123,1.1226848389950608e-123,1.0,0.0,0.0,0.9411764705882353
16,seg_00010,23,23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9557692307476221,3.077696211405421,0.0,"[(16, 0), (36, 0), (66, 0), (86, 0), (106, 0), (126, 0), (146, 0), (166, 0), (186, 0), (216, 0)]",2,proper_name,4.609298990281602e-221,4.609298990281602e-221,1.0,0.0,0.0,0.9411764705882353
9,seg_00011,23,23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9557692307476221,3.077696211405421,0.0,"[(15, 0), (35, 0), (65, 0), (85, 0), (105, 0), (125, 0), (145, 0), (165, 0), (185, 0), (215, 0)]",2,proper_name,4.609298990281602e-221,4.609298990281602e-221,1.0,0.0,0.0,0.9411764705882353
33,seg_00012,21,21,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9596153845916223,3.1647075883950513,0.0,"[(19, 0), (39, 0), (59, 0), (89, 0), (109, 0), (129, 0), (149, 0), (179, 0), (219, 0), (239, 0)]",2,proper_name,1.2623551128340363e-263,1.2623551128340363e-263,1.0,0.0,0.0,0.9411764705882353
43,seg_00013,19,19,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9634615384351699,3.260017768199376,0.0,"[(29, 0), (69, 0), (79, 0), (99, 0), (119, 0), (169, 0), (189, 0), (209, 0), (249, 0), (289, 0)]",2,proper_name,7.0204267588e-313,7.0204267588e-313,1.0,0.0,0.0,0.9411764705882353
38,seg_00014,9,9,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9826923076355302,3.9531649487593215,0.0,"[(49, 0), (139, 0), (159, 0), (199, 0), (269, 0), (359, 0), (379, 0), (419, 0), (489, 0)]",2,proper_name,0.0,0.0,1.0,0.0,0.0,0.9411764705882353
32,seg_00015,5,5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9903846152816155,4.4639905725253115,0.0,"[(41, 0), (151, 0), (261, 0), (371, 0), (481, 0)]",2,proper_name,0.0,0.0,1.0,0.0,0.0,0.9411764705882353
31,seg_00016,3,3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994230769058436,4.869455680633476,0.0,"[(9, 0), (229, 0), (449, 0)]",2,proper_name,0.0,0.0,1.0,0.0,0.0,0.9411764705882353
1,seg_00001,52,52,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999909999,2.285458128201245,0.0,"[(0, 0), (10, 0), (20, 0), (30, 0), (40, 0), (50, 0), (60, 0), (70, 0), (80, 0), (90, 0)]",0,title,0.4999999995614592,0.4999999995614592,8.770810533678309e-10,0.0,0.0,0.9411764705882353
18,seg_00002,52,52,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999909999,2.285458128201245,0.0,"[(7, 0), (17, 0), (27, 0), (37, 0), (47, 0), (57, 0), (67, 0), (77, 0), (87, 0), (97, 0)]",0,title,0.4999999995614592,0.4999999995614592,8.770810533678309e-10,0.0,0.0,0.9411764705882353
2,seg_00003,52,52,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999909999,2.285458128201245,0.0,"[(2, 0), (12, 0), (22, 0), (32, 0), (42, 0), (52, 0), (62, 0), (72, 0), (82, 0), (92, 0)]",0,title,0.4999999995614592,0.4999999995614592,8.770810533678309e-10,0.0,0.0,0.9411764705882353
30,seg_00004,52,52,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999909999,2.285458128201245,0.0,"[(8, 0), (18, 0), (28, 0), (38, 0), (48, 0), (58, 0), (68, 0), (78, 0), (88, 0), (98, 0)]",0,title,0.4999999995614592,0.4999999995614592,8.770810533678309e-10,0.0,0.0,0.9411764705882353
4,seg_00005,52,52,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999909999,2.285458128201245,0.0,"[(3, 0), (13, 0), (23, 0), (33, 0), (43, 0), (53, 0), (63, 0), (73, 0), (83, 0), (93, 0)]",0,title,0.4999999995614592,0.4999999995614592,8.770810533678309e-10,0.0,0.0,0.9411764705882353
7,seg_00006,52,52,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999909999,2.285458128201245,0.0,"[(4, 0), (14, 0), (24, 0), (34, 0), (44, 0), (54, 0), (64, 0), (74, 0), (84, 0), (94, 0)]",0,title,0.4999999995614592,0.4999999995614592,8.770810533678309e-10,0.0,0.0,0.9411764705882353
15,seg_00007,47,47,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9096153846053208,2.3845490308454758,0.0,"[(1, 0), (11, 0), (21, 0), (31, 0), (51, 0), (61, 0), (71, 0), (81, 0), (91, 0), (101, 0)]",0,title,0.49986290849506904,0.49986290849506904,0.00027418300986320146,0.0,0.0,0.9411764705882353
