seal_id,words,encoding
1,Dhamma Devānaṁpiya Rājā,1 1 2 2 3 3
2,Lipi Pajā Sādhu,4 4 5 5 6 6
3,Kamma Hita Nagara,7 7 8 8 9 9
4,Niyama Jīva Yojanas,10 0 11 1 12 2
5,Dānam Magga Parisa,13 3 14 4 15 5
6,Dutā Vipassanā Arambha,16 6 17 7 18 8
7,Māta-pitu Gurū Sammati,19 9 20 0 22 1
8,Bhaya Dhammalipi Anussati,21 2 23 3 24 4
9,Pūjā Mahāmātra Pativedana,25 5 26 6 27 7
10,Samāja Apāsanda Garbha,28 8 29 9 30 0
11,Sabba Ata Bhūta,31 1 32 2 33 3
12,Lokahita Sukhā Dukkha,34 4 35 5 36 6
13,Vijaya Kalinga Lipi,37 7 38 8 4 4
14,Cikicchā Viharati Dīgha,39 9 40 0 41 1
15,Nāḷi Pānīya Nigrodha,42 2 43 3 44 4
16,Rathiya Dhammayāta Anuloma,45 5 46 6 47 7
17,Pātā Punnāta Dhammacara,48 8 49 9 50 0
18,Dhamma Rājā Hita,1 1 3 1 8 5
19,Devānaṁpiya Sādhu Kamma,2 2 6 2 7 6
20,Lipi Pajā Nagara,4 4 5 3 9 4
21,Niyama Jīva Parisa,10 7 11 1 15 5
22,Dutā Magga Arambha,16 6 14 4 18 8
23,Māta-pitu Gurū Niyama,19 9 20 0 10 7
24,Bhaya Dhammalipi Dānam,21 2 23 1 13 3
25,Pūjā Pativedana Sammati,25 5 27 7 22 2
26,Samāja Garbha Sabba,28 8 30 0 31 9
27,Ata Bhūta Sukhā,32 2 33 3 35 5
28,Dukkha Vijaya Cikicchā,36 6 37 7 39 9
29,Viharati Dīgha Nāḷi,40 0 41 1 42 2
30,Pānīya Nigrodha Pātā,43 3 44 4 48 8
31,Punnāta Dhammacara Magga,49 9 50 0 14 4
32,Dhamma Kamma Pūjā,1 1 7 7 25 5
33,Devānaṁpiya Hita Niyama,2 2 8 5 10 7
34,Rājā Lipi Parisa,3 1 4 4 15 5
35,Pajā Jīva Arambha,5 3 11 6 18 8
36,Sādhu Yojanas Vipassanā,6 2 12 2 17 0
37,Dānam Dutā Sammati,13 3 16 6 22 1
38,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
39,Mahāmātra Samāja Sabba,26 9 28 8 31 1
40,Ata Bhūta Lokahita,32 2 33 3 34 5
41,Sukhā Vijaya Cikicchā,35 5 37 7 39 9
42,Viharati Nāḷi Pānīya,40 0 42 2 43 3
43,Nigrodha Rathiya Punnāta,44 4 45 5 49 9
44,Dhammacara Dhamma Lipi,50 0 1 1 4 4
45,Devānaṁpiya Rājā Sādhu,2 2 3 1 6 2
46,Pajā Kamma Hita,5 3 7 7 8 5
47,Nagara Niyama Yojanas,9 4 10 0 12 2
48,Magga Parisa Dutā,14 4 15 5 16 6
49,Vipassanā Arambha Gurū,17 0 18 8 20 0
50,Bhaya Sammati Pativedana,21 8 22 2 27 7
51,Dhamma Kamma Lipi,1 1 7 7 4 4
52,Devānaṁpiya Hita Pajā,2 2 8 5 5 3
53,Rājā Nagara Jīva,3 1 9 4 11 6
54,Sādhu Niyama Magga,6 2 10 7 14 4
55,Yojanas Dānam Vipassanā,12 2 13 3 17 0
56,Arambha Gurū Sammati,18 8 20 0 22 2
57,Bhaya Pūjā Mahāmātra,21 8 25 5 26 9
58,Samāja Garbha Ata,28 8 30 0 32 2
59,Bhūta Lokahita Dukkha,33 3 34 5 36 6
60,Vijaya Kalinga Cikicchā,37 7 38 8 39 9
61,Viharati Dīgha Pānīya,40 0 41 1 43 3
62,Nigrodha Rathiya Pātā,44 4 45 5 48 8
63,Punnāta Dhammacara Dhamma,49 9 50 0 1 1
64,Devānaṁpiya Dhamma Rājā,2 2 1 1 3 1
65,Lipi Pajā Hita,4 4 5 3 8 5
66,Kamma Sādhu Niyama,7 7 6 2 10 7
67,Jīva Yojanas Magga,11 6 12 2 14 4
68,Dānam Dutā Vipassanā,13 3 16 6 17 0
69,Māta-pitu Gurū Bhaya,19 9 20 0 21 8
70,Dhammalipi Anussati Pūjā,23 1 24 4 25 5
71,Pativedana Samāja Apāsanda,27 7 28 8 29 9
72,Garbha Sabba Sukhā,30 0 31 1 35 5
73,Dukkha Bhūta Lokahita,36 6 33 3 34 5
74,Vijaya Cikicchā Dīgha,37 7 39 9 41 1
75,Nāḷi Pānīya Rathiya,42 2 43 3 45 5
76,Dhammayāta Anuloma Pātā,46 6 47 7 48 8
77,Punnāta Dhamma Sādhu,49 9 1 1 6 2
78,Devānaṁpiya Hita Kamma,2 2 8 5 7 7
79,Rājā Nagara Jīva,3 1 9 4 11 6
80,Lipi Yojanas Parisa,4 4 12 2 15 5
81,Dutā Arambha Gurū,16 6 18 8 20 0
82,Bhaya Sammati Dhammalipi,21 8 22 2 23 1
83,Anussati Pūjā Mahāmātra,24 4 25 5 26 9
84,Samāja Apāsanda Ata,28 8 29 9 32 2
85,Bhūta Lokahita Sukhā,33 3 34 5 35 5
86,Dukkha Vijaya Kalinga,36 6 37 7 38 8
87,Viharati Nāḷi Nigrodha,40 0 42 2 44 4
88,Rathiya Dhammayāta Punnāta,45 5 46 6 49 9
89,Dhammacara Dhamma Rājā,50 0 1 1 3 1
90,Devānaṁpiya Lipi Pajā,2 2 4 4 5 3
91,Sādhu Kamma Nagara,6 2 7 7 9 4
92,Hita Niyama Yojanas,8 5 10 0 12 2
93,Magga Dānam Parisa,14 4 13 3 15 5
94,Dutā Arambha Māta-pitu,16 6 18 8 19 9
95,Gurū Bhaya Dhammalipi,20 0 21 8 23 1
96,Anussati Pūjā Samāja,24 4 25 5 28 8
97,Apāsanda Garbha Sabba,29 9 30 0 31 1
98,Ata Dukkha Vijaya,32 2 36 6 37 7
99,Kalinga Cikicchā Dīgha,38 8 39 9 41 1
100,Nāḷi Pānīya Dhammayāta,42 2 43 3 46 6
101,Anuloma Pātā Punnāta,47 7 48 8 49 9
102,Dhamma Devānaṁpiya Sādhu,1 1 2 2 6 2
103,Rājā Kamma Pajā,3 1 7 7 5 3
104,Lipi Hita Niyama,4 4 8 5 10 0
105,Nagara Jīva Magga,9 4 11 6 14 4
106,Yojanas Dānam Arambha,12 2 13 3 18 8
107,Vipassanā Dutā Gurū,17 0 16 6 20 0
108,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
109,Dhammalipi Anussati Pativedana,23 1 24 4 27 7
110,Samāja Apāsanda Lokahita,28 8 29 9 34 5
111,Garbha Bhūta Sukhā,30 0 33 3 35 5
112,Dukkha Vijaya Viharati,36 6 37 7 40 0
113,Kalinga Cikicchā Pānīya,38 8 39 9 43 3
114,Dīgha Nāḷi Rathiya,41 1 42 2 45 5
115,Nigrodha Pātā Dhammacara,44 4 48 8 50 0
116,Dhamma Rājā Lipi,1 1 3 1 4 4
117,Devānaṁpiya Pajā Kamma,2 2 5 3 7 7
118,Sādhu Hita Nagara,6 2 8 5 9 4
119,Niyama Jīva Yojanas,10 0 11 6 12 2
120,Magga Dānam Parisa,14 4 13 3 15 5
121,Dutā Arambha Gurū,16 6 18 8 20 0
122,Bhaya Sammati Dhammalipi,21 8 22 2 23 1
123,Anussati Pūjā Pativedana,24 4 25 5 27 7
124,Samāja Apāsanda Garbha,28 8 29 9 30 0
125,Sabba Ata Lokahita,31 1 32 2 34 5
126,Bhūta Sukhā Dukkha,33 3 35 5 36 6
127,Vijaya Kalinga Cikicchā,37 7 38 8 39 9
128,Viharati Dīgha Nāḷi,40 0 41 1 42 2
129,Pānīya Nigrodha Rathiya,43 3 44 4 45 5
130,Dhammayāta Anuloma Pātā,46 6 47 7 48 8
131,Dhamma Devānaṁpiya Kamma,1 1 2 2 7 7
132,Rājā Lipi Pajā,3 1 4 4 5 3
133,Sādhu Hita Niyama,6 2 8 5 10 0
134,Nagara Jīva Yojanas,9 4 11 6 12 2
135,Dānam Magga Vipassanā,13 3 14 4 17 0
136,Dutā Arambha Gurū,16 6 18 8 20 0
137,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
138,Dhammalipi Anussati Mahāmātra,23 1 24 4 26 9
139,Samāja Apāsanda Sabba,28 8 29 9 31 1
140,Garbha Bhūta Lokahita,30 0 33 3 34 5
141,Ata Sukhā Dukkha,32 2 35 5 36 6
142,Vijaya Kalinga Cikicchā,37 7 38 8 39 9
143,Viharati Nāḷi Nigrodha,40 0 42 2 44 4
144,Dīgha Pānīya Pātā,41 1 43 3 48 8
145,Rathiya Dhammayāta Punnāta,45 5 46 6 49 9
146,Dhamma Sādhu Kamma,1 1 6 2 7 7
147,Devānaṁpiya Hita Lipi,2 2 8 5 4 4
148,Rājā Niyama Jīva,3 1 10 0 11 6
149,Pajā Yojanas Dānam,5 3 12 2 13 3
150,Sādhu Magga Arambha,6 2 14 4 18 8
151,Vipassanā Dutā Gurū,17 0 16 6 20 0
152,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
153,Dhammalipi Pativedana Samāja,23 1 27 7 28 8
154,Apāsanda Garbha Ata,29 9 30 0 32 2
155,Sabba Bhūta Sukhā,31 1 33 3 35 5
156,Lokahita Dukkha Vijaya,34 5 36 6 37 7
157,Kalinga Cikicchā Viharati,38 8 39 9 40 0
158,Dīgha Nāḷi Pānīya,41 1 42 2 43 3
159,Nigrodha Rathiya Pātā,44 4 45 5 48 8
160,Punnāta Dhammacara Magga,49 9 50 0 14 4
161,Dhamma Kamma Pūjā,1 1 7 7 25 5
162,Devānaṁpiya Hita Niyama,2 2 8 5 10 7
163,Rājā Lipi Parisa,3 1 4 4 15 5
164,Pajā Jīva Arambha,5 3 11 6 18 8
165,Sādhu Yojanas Vipassanā,6 2 12 2 17 0
166,Dānam Dutā Sammati,13 3 16 6 22 1
167,Māta-pitu Bhaya Pūjā,19 9 21 8 25 5
168,Mahāmātra Samāja Sabba,26 9 28 8 31 1
169,Ata Bhūta Lokahita,32 2 33 3 34 5
170,Sukhā Vijaya Cikicchā,35 5 37 7 39 9
171,Viharati Nāḷi Pānīya,40 0 42 2 43 3
172,Nigrodha Rathiya Punnāta,44 4 45 5 49 9
173,Dhammacara Dhamma Lipi,50 0 1 1 4 4
174,Devānaṁpiya Rājā Sādhu,2 2 3 1 6 2
175,Pajā Kamma Hita,5 3 7 7 8 5
176,Nagara Niyama Yojanas,9 4 10 0 12 2
177,Magga Parisa Dutā,14 4 15 5 16 6
178,Vipassanā Arambha Gurū,17 0 18 8 20 0
179,Bhaya Sammati Pativedana,21 8 22 2 27 7
180,Dhamma Kamma Lipi,1 1 7 7 4 4
181,Devānaṁpiya Hita Pajā,2 2 8 5 5 3
182,Rājā Nagara Jīva,3 1 9 4 11 6
183,Sādhu Niyama Magga,6 2 10 7 14 4
184,Yojanas Dānam Vipassanā,12 2 13 3 17 0
185,Arambha Gurū Sammati,18 8 20 0 22 2
186,Bhaya Pūjā Mahāmātra,21 8 25 5 26 9
187,Samāja Garbha Ata,28 8 30 0 32 2
188,Bhūta Lokahita Dukkha,33 3 34 5 36 6
189,Vijaya Kalinga Cikicchā,37 7 38 8 39 9
190,Viharati Dīgha Pānīya,40 0 41 1 43 3
191,Nigrodha Rathiya Pātā,44 4 45 5 48 8
192,Punnāta Dhammacara Dhamma,49 9 50 0 1 1
